Designator,Mid X,Mid Y,Rotation,Layer
C1,155.7125,-58.0,0.0,top
D1,145.35,-55.05,90.0,top
D2,145.35,-83.5,90.0,top
D3,174.0,-83.0,90.0,top
D4,174.0,-54.55,90.0,top
R5,165.5,-55.0,180.0,top
U1,159.922,-60.56125,0.0,bottom
U4,160.0,-69.0,0.0,top
